city,state,lat,long
Asheville,NC,35.60,-82.55
Austin,TX,30.27,-97.74
Broward County,FL,26.05,-80.12
Chicago,IL,41.88,-87.63
Clark County,NV,36.08,-115.10
Columbus,OH,39.96,-83.00
Dallas,TX,32.78,-96.80
Denver,CO,39.74,-104.99
Hawaii,HI,19.54,-155.67
Los Angeles,CA,34.05,-118.24
NY City & vicinity,NY,40.71,-74.02
Boston & vicinity,MA,42.36,-71.09
Nashville,TN,36.16,-86.78
New Orleans,LA,29.95,-90.07
Portland/Salem,OR,45.50,-122.68
SF Bay Area,CA,37.77,-122.42
San Diego,CA,32.72,-117.16
Santa Cruz & vicinity,CA,37.05,-121.96
Seattle,WA,47.61,-122.33
Twin Cities,MN,44.94,-93.20
Washington DC,,38.91,-77.04